q1,q2,q3,q4,q5,q6,x,y,z
0.8177083333333334,0.013020833333333287,0.1714285714285716,0.6369175627240143,0.8133971291866029,0.8280134003040659,0.3075601374570447,0.5630252100840336,0.5086139389193421
0.5031423611111111,0.9348958333333334,0.9857142857142857,0.6863799283154122,0.36315789473684207,0.984075314842969,0.5914089347079038,0.3873949579831933,0.9295223179326546
0.7343750000000001,0.53671875,0.3,0.4302867383512544,0.21531100478468898,0.06904290571997174,0.3774914089347079,0.37159663865546216,0.1528974158183242
0.059027777777777755,0.0625,0.6714285714285715,0.19892473118279572,0.09808612440191386,0.7245029467833648,0.6070446735395189,0.27731092436974786,0.5712607674236492
0.09375000000000001,0.10416666666666664,0.9571428571428571,0.3227598566308244,0.5607655502392345,0.9219690427305484,0.5783505154639176,0.6573109243697479,0.28935003915426777
0.2048611111111111,0.5822916666666667,0.8000000000000002,0.7078853046594983,0.5196172248803828,0.48404020091219785,0.5536082474226804,0.7714285714285714,0.7729052466718872
0.3442708333333333,0.7078125000000001,0.5571428571428574,0.6586021505376344,0.6961722488038278,0.4474134250510267,0.5216494845360825,0.6957983193277311,0.812059514487079
0.8576388888888888,0.68359375,0.6,0.5777777777777778,0.7799043062200957,0.4091941806741524,0.4233676975945017,0.43445378151260505,0.8296789350039154
0.05555555555555553,0.09895833333333331,0.0714285714285715,0.906810035842294,0.5035406698564594,0.2324301754311091,0.21821305841924396,0.31596638655462184,0.3265465935787001
0.08159722222222218,0.6036458333333333,0.6142857142857142,0.6810035842293907,0.777511961722488,0.016172950998629042,0.718213058419244,0.43596638655462183,0.7337509788566953
0.9600694444444444,0.7276041666666667,0.7000000000000001,0.09139784946236564,0.18899521531100474,0.8248284632726597,0.39278350515463917,0.3517647058823529,0.7944400939702427
0.9392361111111112,0.5552083333333334,0.7857142857142858,0.8817204301075269,0.4026315789473684,0.4681155157551669,0.761168384879725,0.4226890756302521,0.7729052466718872
0.7725694444444445,0.22656249999999997,0.27142857142857135,0.27419354838709675,0.8492822966507177,0.31683100676337306,0.7371134020618557,0.5773109243697478,0.46750195771339076
0.6309027777777778,0.1875,0.0428571428571429,0.8655913978494624,0.5301435406698565,0.7308728208461772,0.6718213058419245,0.6991596638655462,0.2167188723570869
0.8611111111111112,0.5157552083333333,0.9714285714285714,0.7741935483870969,0.8779904306220097,0.4856326694279009,0.30584192439862545,0.33277310924369746,0.6848081440877055
0.8732638888888888,0.7096354166666667,0.4714285714285716,0.25806451612903225,0.27129186602870814,0.8996744835107051,0.4761168384879725,0.17478991596638654,0.6280344557556773
0.6241319444444444,0.7552083333333334,0.42857142857142866,0.7437275985663083,0.381578947368421,0.9219690427305484,0.3491408934707904,0.22184873949579828,0.749412685982772
0.8784722222222223,0.8541666666666667,0.5000000000000001,0.27598566308243727,0.3284688995215311,0.08783403420526824,0.49446735395189,0.23529411764705882,0.8414252153484728
0.18576388888888887,0.6984375,0.37142857142857144,0.6756272401433692,0.7631578947368421,0.06346926591501091,0.7164948453608248,0.6090756302521009,0.6945967110415034
0.5505208333333333,0.3216145833333333,0.0857142857142858,0.8458781362007168,0.365311004784689,0.49200254349071326,0.5422680412371135,0.3848739495798319,0.2055599060297572
0.1684027777777778,0.12239583333333333,0.25714285714285706,0.1272401433691756,0.7751196172248804,0.17510130886579778,0.2027491408934708,0.27394957983193274,0.43813625685199686
0.2708333333333333,0.3638020833333333,0.8000000000000002,0.44534050179211465,0.6818181818181818,0.4649305787237607,0.3783505154639175,0.7546218487394958,0.6789350039154267
